C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
115 |HD 193092                          |V* |20 16 55.2856832622 +40 21 54.270388173|     ~| 6.871| 5.236|     ~|     ~|K3IIIaFe-1           |  70 |   0
116 |HD 193322                          |** |20 18 06.98820 +40 43 55.5001          | 5.17 | 5.94 | 5.84 | 5.69 | 5.68 |O9IV(n)+B1.5V        | 266 |   0
117 |* alf Cyg                          |sg*|20 41 25.91514 +45 16 49.2197          | 1.11 | 1.34 | 1.25 | 1.14 | 1.04 |A2Ia                 | 718 |   0
118 |HD 198345                          |*  |20 47 49.2866743178 +47 49 54.725533960|     ~| 7.060| 5.586|     ~|     ~|K5III                |  32 |   0
119 |* 55 Cyg                           |s*b|20 48 56.2911163453 +46 06 50.883966851| 4.83 | 5.28 | 4.86 | 4.41 | 4.10 |B4Ia                 | 471 |   0
120 |HD 199612                          |*  |20 56 25.8952118117 +49 11 44.990557096|     ~| 6.963| 5.913|     ~|     ~|G8II-III             |  32 |   0
121 |* f02 Cyg                          |*  |21 06 36.0938154 +47 38 54.249030      |     ~| 6.079| 4.514|     ~|     ~|K4Ib-IIa             | 101 |   0
122 |* f01 Cyg                          |Be*|20 59 49.5516391039 +47 31 15.378902421| 3.77 | 4.71 | 4.75 | 4.62 | 4.63 |B1.5Vnne             | 467 |   0
123 |HD 199478                          |s*b|20 55 49.8044819063 +47 25 03.561837777| 5.79 | 6.12 | 5.64 | 5.16 | 4.78 |B8Ia                 | 212 |   0
124 |HD 203245                          |*  |21 19 28.7504084346 +49 30 37.062759934| 5.11 | 5.61 | 5.74 |     ~|     ~|B6V                  |  64 |   0
125 |HD 203644                          |PM*|21 22 00.4181763287 +49 23 19.843324202|     ~| 6.768| 5.671|     ~|     ~|K0III                |  38 |   0
126 |* pi.01 Cyg                        |SB*|21 42 05.6645818 +51 11 22.641518      | 3.86 | 4.55 | 4.66 |     ~|     ~|B3III                | 101 |   0
127 |HD 209419                          |*  |22 01 50.5869007725 +52 52 56.092761476| 5.14 | 5.658| 5.776|     ~|     ~|B5III                |  59 |   0
128 |V* V416 Lac                        |LP*|22 38 37.9229848 +56 47 44.282738      |     ~| 6.684| 5.167|     ~|     ~|M4+III               |  90 |   0
129 |HD 213930                          |Pu*|22 33 40.6490743000 +56 37 29.052194634|     ~| 6.686| 5.720|     ~|     ~|K0III                |  45 |   0
130 |HD 216174                          |PM*|22 49 46.3147163852 +55 54 09.990853945|     ~| 6.598| 5.439|     ~|     ~|K1III                |  68 |   0
131 |V* V509 Cas                        |LP*|23 00 05.1007915562 +56 56 43.348681058| 8.01 | 6.68 | 5.13 | 3.96 | 3.11 |G4_0                 | 313 |   0
132 |HD 219134                          |Fl*|23 13 16.9747821012 +57 10 06.076520993| 7.460| 6.560| 5.570| 4.76 | 4.23 |K3V                  | 518 |   1
133 |V* AR Cas                          |Al*|23 30 01.9402842213 +58 32 56.100198639| 4.18 | 4.760| 4.886|     ~|     ~|B3V                  | 197 |   1
134 |* tau Cas                          |PM*|23 47 03.4547470384 +58 39 07.153067168|     ~| 5.993| 4.873|     ~|     ~|K1-IIIa              |  98 |   0
135 |HD 223173                          |V* |23 47 01.9178820292 +57 27 04.887795993|     ~| 7.149| 5.503|     ~|     ~|K3-IIb               |  66 |   0
136 |* rho Cas                          |LP*|23 54 23.0339951270 +57 29 57.766930774| 7.00 | 5.85 | 4.59 | 3.63 | 2.89 |G2_0                 | 360 |   0
137 |V* V373 Cas                        |SB*|23 55 33.8387778685 +57 24 43.805719071| 5.49 | 6.21 | 6.00 |     ~|     ~|B0.5II-III           | 140 |   0
138 |* alf Cas                          |PM*|00 40 30.4410679 +56 32 14.392170      | 4.52 | 3.40 | 2.23 | 1.45 | 0.85 |K0-IIIa              | 319 |   0
139 |* eta Cas                          |PM*|00 49 06.2907161 +57 48 54.675740      | 4.04 | 4.02 | 3.44 | 2.94 | 2.58 |F9V+M0-V             | 599 |   0
140 |* tet Cas                          |PM*|01 11 06.1622468 +55 08 59.647259      | 4.630| 4.510| 4.330| 4.16 | 4.09 |A7V                  | 185 |   0
141 |* 1 Per                            |Al*|01 51 59.3196841582 +55 08 50.581808608| 4.51 | 5.34 | 5.52 |     ~|     ~|B1.5V                | 140 |   0
142 |* g Per                            |*  |02 02 18.1108126001 +54 29 15.154292739| 4.64 | 4.96 | 5.04 | 5.01 | 5.06 |B8III                |  93 |   0
143 |* tet Per                          |PM*|02 44 11.9870420 +49 13 42.411120      | 4.62 | 4.62 | 4.11 | 3.67 | 3.37 |F8V                  | 381 |   0
144 |HD 18474                           |*  |02 59 49.7890668899 +47 13 14.556905395|     ~| 6.348| 5.485|     ~|     ~|G5:III:CN-3CH-2Hdel-1|  97 |   0
145 |* nu. Per                          |*  |03 45 11.6320341 +42 34 42.782888      | 4.50 | 4.22 | 3.80 | 3.40 | 3.13 |F4II                 | 119 |   0
