C.D.S.  -  SIMBAD4 rel 1.7  -  2020.09.28CEST13:59:15

Vmag <= 6
---------

Number of objects : 5225

 #  |            identifier             |typ|        coord2 (FK5,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
3786|HD 162555                          |PM*|17 50 22.8922474863 +29 19 19.706877302|     ~| 6.588| 5.517|     ~|     ~|K1III                |  47 |   0
3787|* nu. Her                          |LP*|17 58 30.1490931 +30 11 21.387017      | 4.95 | 4.80 | 4.41 | 4.01 | 3.78 |F2II                 | 170 |   0
3788|* ksi Her                          |LP*|17 57 45.8857114 +29 14 52.367509      | 5.34 | 4.64 | 3.70 | 3.01 | 2.55 |G8.5III              | 224 |   0
3789|* b Her                            |SB*|18 07 01.53971 +30 33 43.6896          | 5.52 | 5.59 | 5.07 | 4.61 | 4.28 |F7VgF7mF5            | 417 |   0
3790|* b Her A                          |** |18 07 01.5899172670 +30 33 43.589330191|     ~| 5.67 | 5.13 |     ~|     ~|F6V                  |  16 |   0
3791|* omi Her                          |Be*|18 07 32.5507266 +28 45 44.967843      | 3.74 | 3.802| 3.827|     ~|     ~|B9.5III              | 142 |   0
3792|HD 168694                          |*  |18 19 52.0698316050 +29 39 59.005936809|     ~| 7.338| 5.993|     ~|     ~|K4III                |  13 |   0
3793|* 108 Her                          |SB*|18 20 56.9701845131 +29 51 32.120410658|     ~| 5.84 | 5.63 |     ~| 5.37 |kA3mA7+A9V           |  87 |   0
3794|* t Her                            |*  |18 21 01.0202651422 +28 52 11.821053982|     ~| 5.322| 5.115|     ~|     ~|A8Vn                 |  45 |   0
3795|HD 171301                          |*  |18 32 49.9578179417 +30 33 15.148528750| 4.93 | 5.381| 5.468|     ~|     ~|B8IV                 |  48 |   1
3796|HD 169981                          |SB*|18 25 58.7870959143 +29 49 44.146965856| 5.99 | 5.90 | 5.83 | 5.75 | 5.71 |A2IV                 |  66 |   0
3797|HD 175443                          |PM*|18 54 13.2471617737 +27 54 34.292755152|     ~| 6.97 | 5.62 |     ~|     ~|K4III                |  25 |   0
3798|HD 178233                          |PM*|19 06 37.7342976797 +28 37 42.934142277| 5.88 | 5.84 | 5.55 |     ~|     ~|F0III                |  56 |   0
3799|* bet02 Cyg                        |Be*|19 30 45.3960872028 +27 57 54.973848075| 4.69 | 5.01 | 5.11 |     ~|     ~|B8Ve                 | 155 |   0
3800|HD 184010                          |*  |19 31 21.6217254062 +26 37 01.815475275|     ~| 6.811| 5.893|     ~|     ~|K0III-IV             |  44 |   0
3801|* bet01 Cyg                        |** |19 30 43.28052 +27 57 34.8483          | 4.83 | 4.21 | 3.08 | 2.21 | 1.55 |K3II+B9.5V           | 219 |   0
3802|* 10 Vul                           |*  |19 43 42.9162913040 +25 46 18.831047686|     ~| 6.433| 5.497|     ~|     ~|G8III                |  80 |   0
3803|HD 189944                          |*  |20 01 44.7115736891 +24 48 01.455869470|     ~| 5.732| 5.870|     ~|     ~|B4V                  |  47 |   0
3804|* 20 Vul                           |Be*|20 12 00.7017606281 +26 28 43.698928217| 5.38 | 5.81 | 5.92 |     ~|     ~|B7Ve                 | 103 |   0
3805|* 24 Vul                           |*  |20 16 47.0862690820 +24 40 15.963966259|     ~| 6.248| 5.302|     ~|     ~|G8III                |  86 |   0
3806|HD 192685                          |Be*|20 15 15.8954222 +25 35 31.054895      |     ~| 4.584| 4.753|     ~|     ~|B3V                  | 132 |   0
3807|* 25 Vul                           |Be*|20 22 03.4307625256 +24 26 45.952640844| 5.06 | 5.45 | 5.56 | 5.59 | 5.58 |B6IVe                |  98 |   0
3808|* 28 Vul                           |*  |20 38 31.9139376202 +24 06 57.443309622| 4.35 | 4.915| 5.049|     ~|     ~|B5IV                 |  86 |   0
3809|HR 7895                            |** |20 38 34.9915252957 +23 40 49.792487942|     ~| 6.888| 5.929|     ~|     ~|K1II+B7              |  31 |   0
3810|* 33 Vul                           |*  |20 58 16.3494227168 +22 19 33.263835671|     ~| 6.708| 5.288|     ~|     ~|K3.5III              |  50 |   0
3811|* ome Boo                          |*  |15 02 06.5086200004 +25 00 29.278223486| 8.14 | 6.31 | 4.81 | 3.62 | 2.83 |K4III                | 101 |   0
3812|* c Boo                            |PM*|15 07 18.0658711040 +24 52 09.095241798| 5.34 | 5.36 | 4.93 | 4.53 | 4.32 |F5V                  | 336 |   0
3813|HD 134335                          |*  |15 08 35.5625074821 +25 06 31.080725077|     ~| 7.047| 5.804|     ~|     ~|K1III                |  24 |   0
3814|* alf CrB                          |Al*|15 34 41.26800 +26 42 52.8940          | 2.19 | 2.22 | 2.24 | 2.21 | 2.25 |A1IV                 | 456 |   0
3815|V* R CrB                           |RC*|15 48 34.4147978750 +28 09 24.298218765| 6.44 | 6.31 | 5.71 | 5.26 | 5.08 |G0Iep                | 758 |   0
3816|* iot CrB                          |SB*|16 01 26.5649794279 +29 51 03.813505647|     ~| 4.921| 4.971|     ~|     ~|A0IIIspHgMnEu        | 254 |   0
3817|* ups CrB                          |V* |16 16 44.7873296074 +29 09 00.939913758|     ~| 5.836| 5.779|     ~|     ~|A3V                  |  44 |   0
3818|* ksi CrB                          |** |16 22 05.8235660072 +30 53 31.175905159|     ~| 5.833| 4.849|     ~|     ~|G9IIIFe-0.5          | 118 |   0
3819|* zet Her                          |SB*|16 41 17.16104 +31 36 09.7873          | 3.640| 3.430| 2.800| 2.31 | 1.99 |G0IV                 | 525 |   0
3820|* zet Her B                        |*  |16 41 17.585592 +31 36 07.31484        |     ~| 6.11 | 5.31 |     ~|     ~|K0V                  |  26 |   0
3821|* 50 Her                           |V* |16 50 38.9585916989 +29 48 23.544206874| 9.24 | 7.32 | 5.72 |     ~|     ~|M1III                |  43 |   0
3822|* 53 Her                           |PM*|16 52 58.0578412498 +31 42 06.014832283|     ~| 5.640| 5.333|     ~| 4.97 |F0V                  |  86 |   0
3823|* eps Her                          |SB*|17 00 17.3737789 +30 55 35.056489      | 3.80 | 3.91 | 3.92 | 3.93 | 3.97 |A0V                  | 159 |   0
3824|* w Her                            |PM*|17 20 39.5675395123 +32 28 03.877348066| 6.08 | 6.01 | 5.39 | 4.89 | 4.56 |G0V                  | 422 |   0
3825|* u Her                            |Al*|17 17 19.5678683696 +33 06 00.364519597| 3.87 | 4.63 | 4.80 |     ~|     ~|B2V                  | 230 |   1
3826|HD 158974                          |*  |17 30 55.3733857635 +31 09 29.299688493|     ~| 6.595| 5.633|     ~|     ~|G8III                |  42 |   0
3827|HD 164614                          |*  |18 00 36.3745436783 +33 12 49.251429144|     ~| 7.531| 6.000|     ~|     ~|K6III                |  13 |   0
3828|HD 165683                          |*  |18 05 49.6110474296 +32 13 50.427570241|     ~| 6.896| 5.709|     ~|     ~|K0III                |  27 |   0
3829|HD 166988                          |** |18 11 45.1230099912 +33 26 49.402829152| 6.050| 6.010| 5.970|     ~|     ~|A3V                  |  64 |   0
3830|* 104 Her                          |V* |18 11 54.1564925292 +31 24 19.246928288| 8.56 | 6.62 | 4.97 |     ~|     ~|M3III                | 111 |   0
3831|HD 173417                          |PM*|18 43 51.5921708491 +31 55 35.805805541|     ~| 6.026| 5.682|     ~|     ~|F1III-IV             |  47 |   0
3832|* nu.01 Lyr                        |V* |18 49 45.9181263495 +32 48 46.148108615| 5.04 | 5.75 | 5.91 |     ~|     ~|B3IV                 |  63 |   0
3833|* nu. Lyr                          |*  |18 49 52.9175323922 +32 33 03.815606116|     ~| 5.316| 5.226|     ~|     ~|A3V                  |  61 |   0
3834|HD 176051A                         |PM*|18 57 01.6350639083 +32 54 04.720954291|     ~| 5.83 | 5.277|     ~|     ~|F9V                  |  24 |   0
3835|* gam Lyr                          |*  |18 58 56.6224137 +32 41 22.400295      | 3.140| 3.200| 3.250| 3.27 | 3.28 |B9III                | 266 |   0
3836|* 17 Lyr                           |SB*|19 07 25.5818520144 +32 30 06.313891342|     ~| 5.57 | 5.22 |     ~|     ~|F0V                  |  87 |   0
3837|* lam Lyr                          |V* |19 00 00.8253423216 +32 08 43.841834157|     ~| 6.401| 4.930|     ~|     ~|K2.5III:Ba0.5        | 108 |   0
3838|HD 177808                          |PM*|19 04 57.8746193651 +31 44 38.653839911| 9.01 | 7.10 | 5.56 |     ~|     ~|M0III                |  45 |   0
3839|* 19 Lyr                           |a2*|19 11 46.0083443116 +31 17 00.437899934|     ~| 5.866| 5.932|     ~|     ~|B8IIIpSiSr           |  91 |   0
3840|HD 180450                          |*  |19 15 24.8593702604 +30 31 34.975961400| 9.55 | 7.52 | 5.85 |     ~|     ~|M0III                |  34 |   0
3841|* 2 Cyg                            |*  |19 24 07.5786267780 +29 37 16.793386618| 4.16 | 4.851| 4.977|     ~|     ~|B3IV                 | 115 |   1
3842|* phi Cyg                          |SB*|19 39 22.6060058861 +30 09 11.944875887|     ~| 5.642| 4.673|     ~|     ~|G8III                | 135 |   0
3843|* 9 Cyg                            |SB*|19 34 50.9284855505 +29 27 46.697578699|     ~| 5.96 | 5.407|     ~|     ~|G8III+A2III:         |  89 |   0
3844|* 15 Vul                           |a2*|20 01 06.0484585 +27 45 12.863884      |     ~| 4.829| 4.651|     ~|     ~|A4III                | 224 |   0
3845|* 21 Vul                           |dS*|20 14 14.5296180620 +28 41 41.335467713|     ~| 5.365| 5.189|     ~|     ~|A7IVn                |  88 |   0
3846|* 18 Vul                           |SB*|20 10 33.5370677802 +26 54 15.003257727|     ~| 5.586| 5.507|     ~|     ~|A3III                |  77 |   0
3847|* 19 Vul                           |*  |20 11 47.9737962703 +26 48 32.373575365|     ~| 6.879| 5.487|     ~|     ~|K2IIIaCa0.5          |  56 |   0
3848|* 23 Vul                           |** |20 15 46.1444650590 +27 48 51.099784408| 6.89 | 5.78 | 4.52 | 3.56 | 2.85 |K3-IIIFe-1           | 106 |   1
3849|* 27 Vul                           |*  |20 37 04.6730582107 +26 27 43.000207301|     ~| 5.528| 5.583|     ~|     ~|B8V                  |  61 |   0
3850|* 30 Vul                           |SB*|20 44 52.5042331234 +25 16 14.253818578| 7.28 | 6.10 | 4.91 | 4.06 | 3.48 |K1III                |  84 |   0
3851|* psi Boo                          |PM*|15 04 26.7429936414 +26 56 51.531466661| 7.12 | 5.78 | 4.55 | 3.62 | 2.97 |K2III                | 112 |   0
3852|* b Boo                            |SB*|15 08 23.7824071325 +26 18 04.146443670|     ~| 6.921| 5.669|     ~|     ~|K2III                |  49 |   0
3853|* bet CrB                          |a2*|15 27 49.7315305 +29 06 20.522375      | 4.08 | 3.97 | 3.68 | 3.50 | 3.45 |F2VpSrCrEuSi         | 654 |   0
3854|* nu.01 CrB                        |V* |16 22 21.4254510098 +33 47 56.582479490| 8.74 | 6.80 | 5.20 |     ~|     ~|M2III                |  46 |   0
3855|* nu.02 CrB                        |PM*|16 22 29.2185138795 +33 42 12.515884199| 8.80 | 6.92 | 5.39 |     ~|     ~|K5III                |  62 |   0
3856|* d Her                            |*  |17 01 36.3616066583 +33 34 05.772591224|     ~| 5.288| 5.267|     ~|     ~|A3IV                 | 101 |   0
3857|HD 158261                          |SB*|17 26 46.1454460400 +34 41 44.885749804| 5.87 | 5.93 | 5.94 |     ~|     ~|A0V                  |  53 |   0
3858|HD 166640                          |*  |18 09 59.0033502321 +36 27 58.588303941|     ~| 6.491| 5.568|     ~|     ~|G8III                |  36 |   0
3859|* kap Lyr                          |V* |18 19 51.7090844 +36 03 52.369076      | 6.70 | 5.51 | 4.34 | 3.48 | 2.93 |K2-IIIabCN0.5        | 132 |   0
3860|HD 172044                          |SB*|18 36 37.3443662524 +33 28 08.535164818| 4.8  | 5.301| 5.410|     ~|     ~|B8IIpHgMn            | 142 |   0
3861|* bet Lyr                          |bL*|18 50 04.7952472 +33 21 45.609978      | 2.85 | 3.42 | 3.42 | 3.31 | 3.29 |B8.5Ib-II            | 886 |   0
3862|HD 186377                          |*  |19 42 44.6060498220 +32 25 36.269785266|     ~| 6.030| 5.925|     ~|     ~|A5III                |  37 |   0
3863|* chi Cyg                          |S* |19 50 33.9243904 +32 54 50.609683      | 7.02 | 6.06 | 4.24 | 1.81 |-0.01 |S6-9/1-2e            | 665 |   0
3864|HD 189395                          |*  |19 58 37.9811492298 +30 59 01.183944488| 5.22 | 5.439| 5.502|     ~|     ~|B9Vn                 |  63 |   0
3865|HD 190603                          |s*b|20 04 36.1744053423 +32 13 06.952102252| 5.73 | 6.19 | 5.65 | 5.13 | 4.71 |B1.5Ia               | 324 |   0
3866|* 41 Cyg                           |V* |20 29 23.7356120 +30 22 06.796777      | 4.69 | 4.42 | 4.01 | 3.65 | 3.42 |F5Ib-II              | 181 |   0
3867|V* T Vul                           |cC*|20 51 28.2382502598 +28 15 01.816605372| 6.89 | 6.49 | 5.77 |     ~| 5.061|F5Ib+A0.8V           | 314 |   0
3868|* 32 Vul                           |V* |20 54 33.6378169646 +28 03 27.463248251| 8.28 | 6.49 | 5.01 |     ~|     ~|K4III                |  69 |   0
3869|* 31 Vul                           |SB*|20 52 07.6835241741 +27 05 48.995100470|     ~| 5.399| 4.568|     ~|     ~|G7IIIFe-1            | 131 |   0
3870|V* S CrB                           |Mi*|15 21 23.9560807971 +31 22 02.567988144| 7.51 | 7.15 | 5.80 |     ~|     ~|M6.5-8e              | 332 |   0
3871|* omi CrB                          |PM*|15 20 08.5587408139 +29 36 58.343581022| 7.30 | 6.53 | 5.51 |     ~|     ~|K0III                | 131 |   1
3872|* chi Boo                          |PM*|15 14 29.1589654770 +29 09 51.462989394|     ~| 5.326| 5.272|     ~|     ~|A2V                  |  81 |   0
3873|* eta CrB                          |SB*|15 23 12.30535 +30 17 16.1701          | 5.60 | 5.56 | 4.98 | 4.50 | 4.22 |G2V+G2V              | 180 |   0
3874|* eta CrB B                        |*  |15 23 12.270456 +30 17 18.45708        |     ~| 6.480| 5.95 |     ~|     ~|G2V                  | 135 |   0
3875|* tet CrB                          |Be*|15 32 55.78214 +31 21 32.8762          | 3.45 | 4.00 | 4.13 | 4.18 | 4.29 |B6Vnne               | 277 |   0
3876|* pi. CrB                          |*  |15 43 59.2996201407 +32 30 56.901940237|     ~| 6.648| 5.575|     ~|     ~|G9III:               |  39 |   0
3877|M 13                               |GlC|16 41 41.634 +36 27 40.75              |     ~|     ~| 5.8  |     ~|     ~|~                    |2015 |   0
3878|* c Her                            |** |17 08 02.0650759598 +35 56 06.676640046|     ~| 5.70 | 5.39 |     ~|     ~|kA5hF0VmF2           | 141 |   0
3879|* pi. Her                          |V* |17 15 02.8343634 +36 48 32.984340      | 6.28 | 4.61 | 3.18 | 2.22 | 1.49 |K3II                 | 228 |   0
3880|HD 156891                          |PM*|17 18 23.2683401053 +38 48 41.035798039|     ~| 6.978| 5.962|     ~|     ~|G7III:               |  28 |   0
3881|* e Her                            |PM*|17 17 40.2534373332 +37 17 29.421400051| 4.67 | 4.70 | 4.65 | 4.56 | 4.56 |A2V                  |  90 |   0
3882|* rho Her A                        |** |17 23 40.9383023424 +37 08 45.342900866|     ~| 4.476| 4.510|     ~|     ~|B9.5III              |  83 |   0
3883|* rho Her B                        |*  |17 23 40.7175416777 +37 08 48.428546087|     ~| 5.395| 5.398|     ~|     ~|A0Vn                 |  56 |   0
3884|* tet Her                          |V* |17 56 15.1805442 +37 15 01.934351      | 6.70 | 5.23 | 3.88 | 2.98 | 2.38 |K1IIaCN2             | 206 |   0
3885|* zet01 Lyr                        |SB*|18 44 46.3573535 +37 36 18.417053      | 4.71 | 4.55 | 4.36 | 4.21 | 4.13 |kA5hF0VmF3           | 185 |   0
3886|* zet02 Lyr                        |*  |18 44 48.2002397405 +37 35 40.556628162|     ~| 5.871| 5.585|     ~|     ~|F1Vnn                |  63 |   0
3887|* alf Lyr                          |dS*|18 36 56.33635 +38 47 01.2802          | 0.03 | 0.03 | 0.03 | 0.07 | 0.10 |A0Va                 |2514 |   0
3888|* del01 Lyr                        |SB*|18 53 43.5592400152 +36 58 18.189132091| 4.74 | 5.425| 5.573|     ~|     ~|B2V                  | 101 |   0
3889|NAME del Lyr Cluster               |OpC|18 53 30.0 +36 55 00                   |     ~| 4.58 | 3.8  |     ~|     ~|~                    |  46 |   0
3890|* del02 Lyr                        |LP*|18 54 30.2833502 +36 53 55.013331      | 7.62 | 5.97 | 4.30 | 2.52 | 0.89 |M4II                 | 219 |   0
3891|V* V542 Lyr                        |Al*|18 58 01.8984403866 +38 15 58.275290044|     ~| 5.787| 5.883|     ~|     ~|B7IV                 |  80 |   0
3892|* iot Lyr                          |Be*|19 07 18.1325133634 +36 06 00.559248332| 4.66 | 5.137| 5.253|     ~|     ~|B6IV                 | 106 |   0
3893|* 4 Cyg                            |a2*|19 26 09.1278663193 +36 19 04.436866203| 4.60 | 5.03 | 5.15 |     ~|     ~|B8pSi(FeII)          | 131 |   0
3894|* 8 Cyg                            |*  |19 31 46.3218386 +34 27 10.687443      | 3.95 | 4.60 | 4.72 |     ~|     ~|B3IV                 | 114 |   0
3895|* eta Cyg                          |*  |19 56 18.3722223 +35 05 00.322759      | 5.800| 4.910| 3.880| 3.19 | 2.66 |K0III                | 269 |   0
3896|HD 192787                          |PM*|20 15 23.7686920596 +33 43 44.709854718|     ~| 6.632| 5.698|     ~|     ~|G8III                |  41 |   0
3897|* 39 Cyg                           |SB*|20 23 51.6206989 +32 11 24.619097      | 7.27 | 5.77 | 4.44 | 3.43 | 2.76 |K2.5IIIFe-0.5        | 129 |   0
3898|HD 196852                          |PM*|20 38 59.5164623251 +30 20 03.361713698|     ~| 6.757| 5.673|     ~|     ~|K2III                |  22 |   0
3899|* 52 Cyg                           |*  |20 45 39.7530399 +30 43 10.975578      | 6.16 | 5.29 | 4.23 | 3.46 | 2.93 |K0IIIa               | 114 |   0
3900|* del Boo                          |PM*|15 15 30.1629518 +33 18 53.392558      | 5.12 | 4.44 | 3.49 | 2.76 | 2.25 |G8IIIFe-1            | 359 |   0
3901|* 50 Boo                           |PM*|15 21 48.5754574863 +32 56 01.294172429|     ~| 5.312| 5.372|     ~|     ~|B9Vn                 |  71 |   0
3902|HD 135438                          |PM*|15 14 06.0418063759 +31 47 16.270930473|     ~| 7.535| 5.974|     ~|     ~|K5                   |  14 |   0
3903|HD 137704                          |PM*|15 26 17.3840641932 +34 20 09.579848892|     ~| 6.873| 5.450|     ~|     ~|K4III                |  78 |   0
3904|* kap CrB                          |PM*|15 51 13.9314685012 +35 39 26.564729663| 6.69 | 5.82 | 4.82 | 4.06 | 3.57 |K1IVa                | 233 |   1
3905|HD 143435                          |*  |15 58 57.7133644991 +36 38 37.531025623|     ~| 7.132| 5.586|     ~|     ~|K5III                |  26 |   0
3906|HD 144208                          |SB*|16 03 19.3641390351 +36 37 54.414338198|     ~| 6.377| 5.804|     ~|     ~|G6IIIa+A2.5IV        |  61 |   0
3907|* tau CrB                          |PM*|16 08 58.3090492277 +36 29 27.123415020| 6.64 | 5.75 | 4.73 | 4.01 | 3.47 |K1-III-IV            | 175 |   0
3908|HD 145849                          |SB*|16 11 48.0448358603 +36 25 30.235827705|     ~| 6.981| 5.615|     ~|     ~|K3III                |  48 |   1
3909|* 25 Her                           |** |16 25 24.1681736016 +37 23 38.579755312| 5.790| 5.710| 5.540|     ~|     ~|A5V                  |  92 |   0
3910|* eta Her                          |PM*|16 42 53.7650947 +38 55 20.112868      | 5.03 | 4.42 | 3.50 | 2.83 | 2.35 |G7IIIFe-1            | 272 |   0
3911|USNO-A2.0 1275-09035765            |*  |16 42 49.2792402902 +39 46 38.460121050|     ~|16.05 | 5.43 |     ~|     ~|~                    |   1 |   0
3912|HD 155410                          |SB*|17 09 33.2432640592 +40 46 37.359909801|     ~| 6.339| 5.065|     ~|     ~|K3III                |  80 |   0
3913|V* V819 Her                        |Al*|17 21 43.6153979332 +39 58 28.658827060|     ~| 6.222| 5.561|     ~|     ~|F7V                  | 166 |   0
3914|HD 159501                          |PM*|17 33 07.2577234500 +41 14 36.419831298|     ~| 6.816| 5.726|     ~|     ~|K1III:               |  42 |   0
3915|* f Her                            |PM*|17 53 18.0275645251 +40 00 28.651140223|     ~| 6.35 | 5.15 |     ~|     ~|K1+IIIbCN-1          |  64 |   0
3916|* mu. Lyr                          |*  |18 24 13.7859856391 +39 30 26.047298435| 5.22 | 5.14 | 5.12 |     ~|     ~|A0IV                 |  43 |   0
3917|* eps01 Lyr A                      |PM*|18 44 20.3500662690 +39 40 12.262845991|     ~| 5.111| 4.991|     ~|     ~|A3V                  |  62 |   0
3918|* eps01 Lyr                        |** |18 44 20.34589 +39 40 12.4533          |     ~| 4.82 | 4.66 |     ~|     ~|A3V+F0V              |  65 |   0
3919|* eps02 Lyr                        |** |18 44 22.78056 +39 36 45.7851          |     ~| 5.43 | 5.23 | 5.93 |     ~|A6Vn+A7Vn            |  37 |   0
3920|* eps02 Lyr A                      |** |18 44 22.7793399199 +39 36 45.758096219|     ~| 5.40 | 5.23 |     ~|     ~|A6Vn                 |  67 |   0
3921|* eps02 Lyr B                      |PM*|18 44 22.9837964219 +39 36 46.051704135|     ~| 5.58 | 5.35 |     ~|     ~|A7Vn                 |  43 |   0
3922|* eta Lyr                          |SB*|19 13 45.4883231 +39 08 45.480091      | 3.58 | 4.243| 4.398|     ~|     ~|B2.5IV               | 141 |   0
3923|* tet Lyr                          |*  |19 16 22.0948728 +38 08 01.423443      | 6.87 | 5.64 | 4.38 | 3.51 | 2.93 |K0II                 | 184 |   0
3924|HD 187235                          |*  |19 47 27.7801165127 +38 24 27.408307452|     ~| 5.728| 5.824|     ~|     ~|B8Vn                 |  49 |   0
3925|* 19 Cyg                           |LP*|19 50 33.9945750470 +38 43 20.700526874| 8.91 | 6.81 | 5.12 |     ~|     ~|M2III                |  49 |   0
3926|* 15 Cyg                           |PM*|19 44 16.6052194350 +37 21 15.677074768|     ~| 5.830| 4.887|     ~|     ~|G8III                | 107 |   0
3927|HD 188650                          |Pe*|19 54 48.2512571827 +36 59 44.431871140|     ~| 6.549| 5.781|     ~|     ~|G1Ib-IICH2Fe-1       |  67 |   0
3928|* 25 Cyg                           |Be*|19 59 55.1955299208 +37 02 34.394909755| 4.33 | 5.02 | 5.19 |     ~|     ~|B3IVe                | 145 |   0
3929|* b03 Cyg                          |dS*|20 14 32.0319919055 +36 48 22.684605093| 5.10 | 5.11 | 4.99 | 4.79 | 4.72 |A2V                  | 241 |   0
3930|NGC 6871                           |OpC|20 05 59.0 +35 46 36                   |     ~| 5.43 | 5.2  |     ~|     ~|~                    | 197 |   0
3931|* b02 Cyg                          |Be*|20 09 25.6190867940 +36 50 22.596147551| 4.03 | 4.80 | 4.93 |     ~|     ~|B2.5Ve               | 247 |   0
3932|* 35 Cyg                           |SB*|20 18 39.0726619293 +34 58 57.974993387| 6.29 | 5.803| 5.162|     ~|     ~|F6Ib                 | 127 |   0
3933|* 47 Cyg                           |SB*|20 33 54.1882057656 +35 15 03.028103621|     ~| 6.145| 4.636|     ~|     ~|K6:Ib+B2.5:          |  96 |   1
3934|* eps Cyg                          |** |20 46 12.6823609 +33 58 12.924926      | 4.370| 3.520| 2.480| 1.73 | 1.19 |K0III                | 480 |   0
3935|* 49 Cyg                           |** |20 41 02.5422186326 +32 18 26.237959572|     ~| 6.672| 5.638|     ~|     ~|G8IIb                |  75 |   0
3936|HD 133392                          |V* |15 03 06.0546924301 +35 12 20.862622344|     ~| 6.539| 5.513|     ~|     ~|G8III:               |  39 |   0
3937|* 7 CrB A                          |SB*|15 39 22.6729839797 +36 38 08.917465417|     ~| 4.871| 4.979|     ~|     ~|B7V                  |  86 |   0
3938|* lam CrB                          |PM*|15 55 47.5877409266 +37 56 49.039703238|     ~| 5.770| 5.424|     ~|     ~|F2IV-V               |  92 |   0
3939|HD 147365                          |PM*|16 19 55.1421247380 +39 42 30.898680637| 5.860| 5.880| 5.480|     ~|     ~|F4V                  |  80 |   0
3940|* g Her                            |AB*|16 28 38.5485851 +41 52 54.040593      | 7.70 | 6.53 | 5.01 | 2.49 | 0.26 |M6-III               | 363 |   0
3941|* sig Her                          |** |16 34 06.1813704319 +42 26 13.134833754|     ~| 4.177| 4.196| 6.02 |     ~|B9V                  | 182 |   0
3942|V* V636 Her                        |LP*|16 47 19.7464967323 +42 14 20.090790967| 9.07 | 7.48 | 5.87 |     ~|     ~|M4.5III              |  62 |   0
3943|HD 166208                          |SB*|18 07 28.7432061157 +43 27 42.749010239|     ~| 5.915| 4.997|     ~|     ~|G8IIICN-1CH-3        | 142 |   0
3944|HD 167965                          |*  |18 15 38.7772216860 +42 09 33.643941549| 4.98 | 5.434| 5.556|     ~|     ~|B7IV                 |  59 |   0
3945|HD 175740                          |*  |18 54 52.1775810576 +41 36 09.793361516| 7.400| 6.490| 5.440|     ~|     ~|G8III                |  40 |   0
3946|* 13 Lyr                           |LP*|18 55 20.1022285 +43 56 45.931489      | 7.00 | 5.59 | 4.00 | 1.95 | 0.04 |M5III                | 300 |   0
3947|HD 184875                          |*  |19 34 41.2618545206 +42 24 45.039482154|     ~| 5.396| 5.336|     ~|     ~|A2V                  |  44 |   0
3948|HD 186619                          |V* |19 43 45.0962637237 +41 46 23.194569433| 9.40 | 7.41 | 5.84 |     ~|     ~|M0III                |  39 |   0
3949|V* V380 Cyg                        |Al*|19 50 37.3267138268 +40 35 59.129715394| 4.86 | 5.613| 5.680|     ~|     ~|B1.1III+B2.5/3V:     | 270 |   0
3950|HD 189178                          |SB*|19 57 13.8676318752 +40 22 04.171306647|     ~| 5.352| 5.455|     ~|     ~|B5V                  |  64 |   0
3951|* 22 Cyg                           |SB*|19 55 51.7571800743 +38 29 12.153780938| 4.34 | 4.846| 4.946|     ~|     ~|B5IV                 |  89 |   0
3952|HD 194335                          |Be*|20 23 44.3691824735 +37 28 35.207251817| 4.82 | 5.70 | 5.90 |     ~|     ~|B2IIIe               | 128 |   0
3953|* P Cyg                            |s*b|20 17 47.2020844 +38 01 58.552724      | 4.66 | 5.24 | 4.82 | 4.28 | 4.02 |B1-2Ia-0ep           |1132 |   1
3954|* 36 Cyg                           |*  |20 18 28.6550999985 +36 59 59.290237546| 5.64 | 5.64 | 5.58 |     ~| 5.51 |A2V                  |  66 |   0
3955|* 40 Cyg                           |PM*|20 27 34.2586168914 +38 26 25.259428438| 5.74 | 5.68 | 5.62 |     ~|     ~|A3V                  |  89 |   0
3956|* 42 Cyg                           |pA*|20 29 20.3899981108 +36 27 17.011345364|     ~| 6.291| 5.899|     ~|     ~|A2Iab-Ib             |  78 |   0
3957|* lam Cyg                          |** |20 47 24.53766 +36 29 26.5737          | 3.93 | 4.43 | 4.54 | 4.58 | 4.69 |B5V                  | 294 |   0
3958|V* T Cyg                           |LP?|20 47 10.7523904479 +34 22 26.837368218|     ~| 6.224| 4.930| 5.33 |     ~|K3III                |  69 |   1
3959|HD 199101                          |*  |20 53 53.8914142380 +33 26 16.403420025| 8.86 | 6.99 | 5.47 |     ~|     ~|K5III                |  44 |   0
3960|HD 74824                           |V* |08 44 51.9267653851 -37 08 50.102417525|     ~| 5.582| 5.722|     ~|     ~|B3III                |  28 |   0
3961|HD 76110                           |*  |08 52 48.0177098491 -38 43 26.713139812|     ~| 7.329| 5.806|     ~|     ~|K5/M0III             |  22 |   0
3962|HD 72832                           |*  |08 33 38.4310446502 -38 50 55.720062046|     ~| 5.785| 5.908|     ~|     ~|B5III                |  23 |   0
3963|* h02 Pup                          |SB*|08 14 02.9434614994 -40 20 52.469070271| 6.70 | 5.61 | 4.44 | 3.60 | 2.96 |K1II/III             |  39 |   0
3964|V* V336 Pup                        |a2*|08 02 44.7809525097 -41 18 35.355966081|     ~| 5.358| 5.497|     ~|     ~|B9pSi                |  50 |   0
