Numeric 	Standard name 	Cond. 	Extended explanation 
15.12.00.00      	  ·  StarburstG     	SBG     	Starburst Galaxy     
15.13.00.00      	  ·  BlueCompG     	bCG     	Blue compact Galaxy     
15.14.00.00      	  ·  LensedImage     	LeI     	Gravitationally Lensed Image     
15.14.01.00      	  ·  ·  LensedG     	LeG     	Gravitationally Lensed Image of a Galaxy     
15.14.07.00      	  ·  ·  LensedQ     	LeQ     	Gravitationally Lensed Image of a Quasar     
15.15.00.00      	  ·  AGN     	AGN     	Active Galaxy Nucleus     
15.15.01.00      	  ·  ·  LINER     	LIN     	LINER-type Active Galaxy Nucleus     
15.15.02.00      	  ·  ·  Seyfert     	SyG     	Seyfert Galaxy     
15.15.02.01      	  ·  ·  ·  Seyfert_1     	Sy1     	Seyfert 1 Galaxy     
15.15.02.02      	  ·  ·  ·  Seyfert_2     	Sy2     	Seyfert 2 Galaxy     
15.15.03.00      	  ·  ·  Blazar     	Bla     	Blazar     
15.15.03.01      	  ·  ·  ·  BLLac     	BLL     	BL Lac - type object     
15.15.03.02      	  ·  ·  ·  OVV     	OVV     	Optically Violently Variable object     
15.15.04.00      	  ·  ·  QSO     	QSO     	Quasar     
